features_selected,score
PAY_0,3541.479942688448
PAY_2,2236.822454816949
PAY_3,1753.9258312704299
PAY_4,1474.929892338616
PAY_5,1301.6433293207836
PAY_6,1080.0640533761389
LIMIT_BAL,722.8449098497624
PAY_AMT_LAST_6M,319.8021766047357
AVG_REPAYMENT_6M,319.80217660472846
PAY_AMT_LAST_3M,227.72219548305273
AVG_REPAYMENT_3M,227.72219548304565
BILL_AMOUNT_STD_LAST_6M,193.37246431657647
PAY_AMOUNT_STD_LAST_6M,166.31441071571786
PAY_AMT1,161.04858750408442
PAY_AMT2,103.74415822919057
PAY_AMT4,97.4346092172162
PAY_AMT3,95.84352040109053
